commenterID,commentBody,date_posted
UCGrMixoh4EWVisi2axrE9Zw,So much failure,2026-03-24T14:52:50Z
UCVXA-X2C387OkCDN77EmS9Q,"These guys are clueless. The Iranian regime doesn’t care about their civilians lives. They will never surrender. The only way out for Trump now to justify this war is to either blame someone else for it (a scapegoat), make it seem like they got a “huge” deal, or just completely obliterate Iran (which he won’t).",2026-03-24T14:52:47Z
UCGrMixoh4EWVisi2axrE9Zw,Burn Israel burn,2026-03-24T14:52:32Z
UCyJE91bBPsLIqbnc96ZcYWQ,U.s. do know Iran have allies and Iran get all that gear and tech back. Construction just rebuild all those destroyed buildings back and rebuild military nothing changed,2026-03-24T14:49:37Z
UCgCga6HZOLAyXQOhbx10olg,Donald Lie Lama😂,2026-03-24T14:49:05Z
UCG9dXgLbuAueJkSVAB6TMeg,"Iran said, ""NO MORE TALKING!""",2026-03-24T14:48:59Z
UC6EyRpYhZ3nJp1a896YUHvA,Alot of these strikes are same videos😂,2026-03-24T14:48:17Z
UC4kGBSZumqa53r261KXpl5g,Wouldn’t be the first time the big “I” lied about a strike on themselves.,2026-03-24T14:48:11Z
UCZy0Ey4gDjbLqXSO9TV6AAA,So much for no more wars. I say we let Israel fight this war all by themselves.,2026-03-24T14:47:56Z
UC7ipCH7YkffjL_fc44k-z4A,2 planes coming from NY into Israel right now looking at the flight radars,2026-03-24T14:45:57Z
UCY87u7lU-DTfDIWKsQK-Fpw,Israel and the US are losing this war. And when it’s done israel abd the US will only have each other as allies. The world hates the US and israel.,2026-03-24T14:45:23Z
UCixrcUYbsbypkhJsvBWWamA,"Now imagine how the citizens of Gaza, Beirut and Tehran feel.

I don't support Islamic fascism in any form but that doesn't close my eyes to the suffering of fellow human beings whatever their religion, politics or nationality",2026-03-24T14:45:15Z
UCQ1tt5-1uKjsjpFhpCE6o7Q,Wondering how the Media knows the exact size of the bomb. Are they working with them?,2026-03-24T14:45:10Z
UCTVnRHjSEtM7DQd5w1lfHBA,200 lb? Should be a 3000lb one. Make it rain on em,2026-03-24T14:45:08Z
UCIQ_TwgoMsb-nyT346gpz7A,I RAN AWAY!,2026-03-24T14:44:25Z
UCpF9_CB56Jl6rWzoOyucWGQ,Iran can keep this going.,2026-03-24T14:43:45Z
UCtul2uaeKHTiLBfBkaeA13g,Maybe the US wants to make a deal.,2026-03-24T14:43:37Z
UCDrAeWRhbKuGAG-T7jRlUXQ,"Now I understand why MAGA is always wrong.  But for those of us who know Trump is a psychopath and can recognize his lies, the good news is these lies can be traded for profit.  The last week has allowed me to trade oil for good profits.  Strategy?  When he lies and oil goes down, go long oil or trade options.   Fox News will make you broke, and more stupid than you already are.  Sorry, but Trump can’t help your failures in life.  You own those.",2026-03-24T14:43:12Z
UCGIli4MHla42H-aSMHYf4IA,It's taco tuesday fox news.,2026-03-24T14:41:48Z
UCuKDhi2D8vXvfdb1omYe3kg,March 28th.  Stop the lies and stop child rapists trump,2026-03-24T14:41:10Z
UCHVjxRkkHwerCykCb1IWi3w,"All I can say is keep an eye on them, because I pray they aren't trying to buy time to receive some type of terrible weapon from another country or some other craziness, because they are radical to the max.
And they refuse to give up, no matter what they are always looking toward their goal. But I'm praying about it. All I know is that they are liars. And the only thing that could change them is if Jesus Christ were to actually make himself known to them, to the point that they fear and repent. Then they would actually be changed. But otherwise they will not change.",2026-03-24T14:41:05Z
UCBgtOV4Z_eZNzomPdtIxtvQ,Something  stinks they would have stopped  firing for 5 days,2026-03-24T14:40:44Z
UCj8pxmaz1VTSTj_BuRLdz1Q,"Hamburger Hill. (937) Bombed and Bombed it, even with Napalm, only booths/close combat could do a temporary job.",2026-03-24T14:40:07Z
UCugNrswAix2kxdHm_BpUREw,How do you make a deal with liars? Lying seems to be their specialty.,2026-03-24T14:39:55Z
UCPltS4JMLo4Jgd3j0zA3T9Q,Texas refineries 😂😂😂😂,2026-03-24T14:39:03Z
UCBShiO9N2pv5p3Nz1u4s1Zg,Pledge allegiance to your Epstein president,2026-03-24T14:38:51Z
UCwSBq3z4X8JLb1sdOG08nuA,They don’t make deals!,2026-03-24T14:38:36Z
UC8K_mCWsDWsyb1x8cExqakQ,God bless these Israeli’s. Many arrogant Americans have no clue how lucky they are to live in America. And I have no clue that sometimes we have to fight for our freedom because they have grown up in a pampered world.,2026-03-24T14:37:46Z
UCf8ro0dS1HVTr7jPGaOn4fw,Finish the job!,2026-03-24T14:37:39Z
UC03Gq2q91ctGLJRjPrderEg,they know what US 'talks' mean....,2026-03-24T14:36:32Z
UC3FHNUYA5yuAOOgiCiWuT-g,TACO,2026-03-24T14:36:28Z
UCXyGRUIl9_nSIb_cNC3S3Vw,The Regime in Iran must be eliminated,2026-03-24T14:36:07Z
UCSukteP_zzOL490GX5KFR4g,I see,2026-03-24T14:35:45Z
UCmtcVhCMCKxAzaZM2mbLmvA,Fox News says Iran is on Borrowed time. Reality says Trump and his Master are the ones on borrowed time and it is coming to an end soon.,2026-03-24T14:35:43Z
UCuqRUQHECzJ_nM9rp7DyqDg,It's called gazanization!,2026-03-24T14:35:25Z
UCwmkeNzzIPnH4udr2QAEGjA,Nuke tel Aviv,2026-03-24T14:34:55Z
UCkzAhbKqyMJ-FA136goUqCw,Iran just send 100.000 ellite troops to gaza😂 Iran Will win..,2026-03-24T14:34:52Z
UC-a4yiy4vmLAAoMi5pZXfBw,Евреи чума человечества,2026-03-24T14:34:51Z
UCkAkyI-gwSODd0R1VEn17pA,Keep on dreaming. Iran is not interested in any deal. No more deal just keep on! If you so much needed that deal then the conditions are simple: pack all stuff and leave the GCC and then pay the damages you did to Iran.,2026-03-24T14:34:29Z
UC3MXFqAtG51_CeFwHoBJvDg,As the world sees it… the USA is the one that wants to hold the world hostage. The Epstein class wants to hold the word hostage. Trump = Child Rapist.,2026-03-24T14:34:06Z
UCmtcVhCMCKxAzaZM2mbLmvA,Anyone that believes this crap about negotiations on Fox News. I have a bridge to sell you in Brooklyn. These idiots love war so much let them send their own kids. I bet they will have bone spurs too.,2026-03-24T14:33:55Z
UCac56GZgeQjPXvYpw_SuVpQ,"Trump moved taco Tuesday to Monday, now this? My body cannot process all this winning.",2026-03-24T14:33:47Z
UC-a4yiy4vmLAAoMi5pZXfBw,Победы Ирану!!,2026-03-24T14:33:20Z
UCe0ym6rL9rGBqBQc2-OY_ww,Put the friendly A-rabs on the ground,2026-03-24T14:33:04Z
UCXQb6DbCt2in0gqa56DmMgA,Orange buffoon is going to bend the knee first but Iran won't stop unless all objectives are achieved. Iran has also backing of 2 actual superpowers Russia and China,2026-03-24T14:32:59Z
UCW4KQv4ay803GA91gQmEz_g,So called Jewish... 🗑,2026-03-24T14:32:36Z
UCo9yJEABZJ51Q1PkIeQH4yw,It's nice being an American. Missiles never land in our cities.,2026-03-24T14:32:05Z
UCQK5qg_WO34s6Z08tbj8IIA,🇺🇲🇮🇱,2026-03-24T14:31:47Z
UCe0ym6rL9rGBqBQc2-OY_ww,Hitting back harder 🎉😢😢😢,2026-03-24T14:31:42Z
UCoVvhSACLF5dgGX1Qhple2Q,The same people the were complaining that trump didn't do anything for the protesters are the same ones that are now complaining that he is doing something to iran,2026-03-24T14:31:20Z
UCnwFMvBC3aUw6nl0sNoT_cQ,"Oh please, Israel has no defenses left.  And Iran doesn't need or want a peace deal.",2026-03-24T14:31:07Z
UCe0ym6rL9rGBqBQc2-OY_ww,Keep blowing it up 🎉🎉🎉,2026-03-24T14:30:42Z
UCbunbhjXuPWphb3rwgJU0yQ,The world do not trust the USA anymore,2026-03-24T14:29:44Z
UCyRpCkHR2jnQlG8gZBX7uVg,"Iran stated what they are going to do

They are going to make this war so painful that no one will ever dream of attacking them again, they do not want peace talks, they want American boots on the ground to put American soldiers in body bags even if Iran suffers 10 to 1 casualties. They want flag draped coffins, trump attacked them while they were in peace negotiations, twice, they have absolutely no intention of talks with the US while trump is President",2026-03-24T14:29:01Z
UCkC7yK8xgRJd3qYnE_LGFoA,This fella is the cause of the war.,2026-03-24T14:29:01Z
UCggP58LMtOFH-oOiKaempRg,أنتم الأمريكان أنتم أكبر دولة إرهابية في العالم وقتلة ومصاصين دماء,2026-03-24T14:28:56Z
UCe0ym6rL9rGBqBQc2-OY_ww,Give no quarter 😮😮😮😊,2026-03-24T14:28:17Z
UCkkCSO9Hl31Lp2roPsv7nww,Isn't Iran Cooler?,2026-03-24T14:28:10Z
UC3dCT_TV-Aa_HMTxz6yaNkA,"Chris Murphy
@ChrisM... • 9h Ø
$1.5 BILLION. Let me say it again - a $1.5
BILLION BET.
Bigger than any futures purchases made at the time.
5 minutes before Trump's post.
Who was it? Trump? A family member? A White House staffer?
This is corruption. Mind blowing corruption.
unusual whales • @unusual_w... • 18h
BREAKING: Just five minutes before
Trump's announcement to halt the attacks on Iran, massive trades reportedly hit the market.",2026-03-24T14:28:09Z
UCVbFrSL0v3_ZGRRcsOgLfHg,Wipe Iranian regime out !,2026-03-24T14:27:26Z
UC9p8HvKsibgag70Ys3l7GCw,Пиздаболы,2026-03-24T14:27:04Z
UCYfIgxAmB7q1VdEMgac0D5A,EPIC FAIL,2026-03-24T14:26:05Z
UCcTTG5bUGCy57IkwZN2C9lQ,What red blooded American believes Fox?,2026-03-24T14:25:45Z
UC4-8R4POEzVpVOfKPgViQ7g,Tel Aviv. What a wonderful place to live! I feel sorry for the Israelis who are dying for Bibi's little adventure.,2026-03-24T14:25:44Z
UCzMNT0wCZfp7lrsQMhiBjlA,"sooo… the usa bombs iran , a society where the ppl are SHIA meaning they believe in martyrdom… similar to those ppl that would die for a cause …we bombed them and killed their leader , (savior) … idk man common sense tells me there were zero talks …but idk 🤷🏾‍♂️  im just a regular dude reading between the lines …",2026-03-24T14:25:23Z
UC4eu1WzDtXk9EAWadU6TWQQ,😅 it's wild when even the fox comments are like f*** Trump this is crazy,2026-03-24T14:25:06Z
UCCohpl761UZq882p_urUWew,I am happy that Israel is getting hit. They deserve it for killing thousands of thousands of innocent people who had nothing to do with this war Israel hate Arabs and always will.,2026-03-24T14:24:33Z
UCqycNvuEEsmwFNvxy9_VdPw,"You could catch 95% of commenters with 1, sort of, shiny object...",2026-03-24T14:24:20Z
UCuW3ISH5vMYM8wQCQ6oSzsQ,Trump is an idiot,2026-03-24T14:24:07Z
UCwOucBdJEoqUjzWkfpeKYPw,"Oh no, no more war. I’m scared for my Gyoa",2026-03-24T14:24:05Z
UCo23-JC65z8tYd0w77iDusg,"This fight is so stupid, most of the storage bunkers are underground and spread out over a massive region",2026-03-24T14:23:45Z
UCrArtmhW1H32A8P933pJC4A,Трамп забыл заключить конктракт на изготовленние пяти тысяч гробов.,2026-03-24T14:23:23Z
UCXQb6DbCt2in0gqa56DmMgA,Iran has no interest in talks unless all US military bases and assets are totally annihilated in West Asia and Israeli state is dismantled,2026-03-24T14:22:30Z
UCoGouQDsA_9PSLjszlH89bA,You shouldn't give them 5 minutes. Blow the whole country up.,2026-03-24T14:22:03Z
UCCRH4JwQPtGg-VhR1NxxmEw,Are we losing?,2026-03-24T14:22:02Z
UCw8mYofv1Tju--n9O2dOmZg,Good thing the war has ended.........................That's what Trump said.,2026-03-24T14:21:55Z
UCrArtmhW1H32A8P933pJC4A,Жидоньху сдох или не нет?,2026-03-24T14:21:08Z
UCWaN3rnanBswa9JKxeJXa4A,"I want to see Israel razed to the ground & equal casualties, just like they did to the defenseless Gaza and Palestinians.",2026-03-24T14:20:22Z
UCMZItMF1h8HEgqm5Be1dNYQ,IRAN HOURRA 🤣🤣🤣🤣🤣,2026-03-24T14:20:15Z
UCOAB-YSR4hH3pHmQ-CJvRCg,"iran strong country then india & pakistan,,us no longer super power!!!!!!!",2026-03-24T14:19:16Z
UCsfBbn4tUGUzwhNiB9oWhWA,Here's what's going to happen:  5 day pause will result in IRGC and proxies reorganizing for more strikes.  The Islamic regime is crazy and is never truthful.  Do not trust the Iranians.,2026-03-24T14:18:26Z
UCAO_IH-HhsbJdLjL-HmzZTw,free the hostages 🇮🇱,2026-03-24T14:18:03Z
UCVZgRzhWpo4AjtvtT-dV7UA,Iran is a wasp nest.,2026-03-24T14:17:45Z
UC6XfWrl6rcghp2npvxC_ZNg,"This will be another iraq, syria and afghanistan. Iranian shias country was only barrier for Sunni countries sharing borders and working together and uniting, Sunni will take over Iran and than Arabs, Sunni Persians and Pakistan and afghanistan will share borders once again after 500yrs. The Arab, Afghani and Pakistan Sunni groups could than just walk into Isreal. Leading to insurgents entering Isreals. This is daft move by Isreal",2026-03-24T14:17:22Z
UCWfu5eb43EM54mg5M3S8ofw,Sucks when the rabbit has the gun doesn’t it?,2026-03-24T14:17:04Z
UCPiqBVU2li0kXp-cyQs32jw,"1:30 keeps saying war is finished ✔️ that Iran is negotiating, you voted in a liar.",2026-03-24T14:16:35Z
UCSb7vmoEfN9yMHdVO1osHyA,No deal.  .blow Iran off the map.,2026-03-24T14:16:21Z
UCgHQggENhi0DW5a8OC2P6cg,I thought they had been obliterated militarily,2026-03-24T14:15:46Z
UCPiqBVU2li0kXp-cyQs32jw,Tens of Thousands of bombs and missiles and America still DIDINT win? You suck at wars,2026-03-24T14:15:37Z
UCJ779gdrzbBzz0Ph_sZUuXQ,Save human lives over greediness . . .😢,2026-03-24T14:15:33Z
UCNSZDukCzfiuhiwdEwtRpBg,israel never let others to live in peace. pick the history n u ll see they start the war all them.,2026-03-24T14:15:13Z
UC_E-b9HmfqCeyAQM1rEJXEA,"U fools, the Israelis are criminals and terrorists fools",2026-03-24T14:14:59Z
UC8iaxsnhE3liAMFO0SSIzSw,"If they put troops on the ground, midterms will be lost big time and a communist will be running the country in 2028",2026-03-24T14:14:28Z
UCNBPVbbz1yWHaJZ7HHQbgvw,"What deal ? 
If iran really wanted a deal 
They won't be sending missiles at Israel, this needs to absolutely stop! Is ridiculous no one wins its only violence destruction 
Innocent people are loosing their lives this conflict is unnecessary iran needs to actually make its final decision also the united state's.. bless our brave soldiers 🙏 risking there lives bless u all..",2026-03-24T14:14:06Z
UCQymUcshoNFX0-hY5q7yGyA,Most comments here are either from bots or morons.,2026-03-24T14:13:52Z
UCzorevRvfZuencif2WcxgPw,Iranian shovels and washing machines are speaking for themselves 😂,2026-03-24T14:13:45Z
UCsL9KDUhlLqhxFViP1FoNOg,👍👍👍👍👍reminder Netanyahu how is it for you,2026-03-24T14:13:43Z
UCGzEWz0DsCRI7fqb1WXsDKQ,Deal…. BOOM…,2026-03-24T14:13:41Z
UCDErSvGZqbByUVY4A6r6X8Q,Lmao weren’t God’s chosen inbreds dropping JDAMS and phosphorus on hospitals and refugee camps for the better part of two years? Oh but now it’s a problem because big bad Iran decided to fight back instead of just surrendering its future to the Epstein class. Give me a break.,2026-03-24T14:13:31Z
UC4b06yHeNWeAx8PWtkXtBig,"Straight up liars, ruining the economy!!!",2026-03-24T14:13:22Z
UCq67YNOpBAWynq0Wdn3spxA,"9,000 is a misdemeanor100,000 is a felony",2026-03-24T14:12:25Z
UCQj1OBLkxpYmMCrEiVcQMaQ,I don’t care what happens to israel. They deserve this,2026-03-24T14:12:16Z
UChWCshg9-wMVf_mnqgqtY5Q,I DO NOT SUPPORT THIS WAR-  I AM JEWISH,2026-03-24T14:12:01Z
UCS-kbS8m5cVCXeF2SQYFQCw,"Pathologic Liar, deal Yes No deal",2026-03-24T14:11:06Z
UCsL9KDUhlLqhxFViP1FoNOg,"Fox News do you remember,  isn’t replica of Gaza bombing to innocent children and innocent civilians? God’s justice It’s tit for tat",2026-03-24T14:10:56Z
UCMBUkXHhzX838k_EFWr_6sw,Iran was underestimated  and got American and Israel running 😅,2026-03-24T14:10:04Z
UCXed5c6TcE5frb5KFywrccw,Cargo ships next sitting ducks in the perisan gulf,2026-03-24T14:09:55Z
UCxN3-D7cU8rTEPV4P9VbM7g,"Dipomats and head of states could be trusted but criminals like Zionist, Nuclear criminal US and Arab dreaded dictators could not be trusted.They backstabbed two times during the talks",2026-03-24T14:09:47Z
UCynJaJWQvLEXlhLiAQoEd9Q,"What happened to Melania's "" Be best""?",2026-03-24T14:09:02Z
UCiw_y_NOeUmB63e-qv-M4og,Epic F Duck🤣🤣🤣,2026-03-24T14:08:59Z
UCr2fV32fiZjqne6Koe2hBLA,I’m glad people aren’t buying any of this propaganda bs. Y’all played your final hand in all of the misinformation and lies in the past and now we are not going for it again.,2026-03-24T14:08:31Z
UCOlN0VjsDlnTS0tYEI8i2sw,"What happened to the peace talks, lame stream, lying media?!",2026-03-24T14:08:12Z
UCRtjO2yseoDDvoWHYF8j4Lg,Are we great yet?,2026-03-24T14:08:04Z
UC0McqNoktF32ky7Gokx9lAQ,"When they started singing B💣mb B💣mb Tel Aviv, there was no peace talk on the cards.",2026-03-24T14:07:59Z
UCMmdGsw2RtbR95RUeLcrlAw,I thought cease fire? What happened,2026-03-24T14:07:31Z
UCoQ5wZ1I-b1WS4yLcDL2c5g,Let yahoo fight his own war,2026-03-24T14:07:01Z
UCq67YNOpBAWynq0Wdn3spxA,"Can Iran 🇮🇷 do it again,I was sleeping",2026-03-24T14:06:53Z
