commenterID,commentBody,date_posted
UCX6OQ3DkcsbYNE6H8uQQuVA,should the boys and I do more challenges again?,2026-03-21T15:57:20Z,0
UC-yE7wxmZvC90AERxx-RRnA,pls make Darius participant,2026-03-24T14:40:58Z,0
UC0QPVsIrfYyc3KLhUU3l5tg,More like it🎉🎉🎉,2026-03-24T14:40:57Z,1
UCLPPEU7cC0AAj2ryQOsSAwg,Mr beast I am  from India my house is so small pleas help us to build a house 🏠🏠🏠 you are my favorite youtuber and gime me I phone 📱📱 pleas I'm poor pleas help me mr beast I am 15 year old my name is Kanhaiya Dhruw and pleas take me in your Indian video 📷 your subscriber Kanhaiya Dhruw love from India ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2026-03-24T14:39:55Z,1
UCCJtNvL9q1Y3vRzVRIqPw_g,Oh yes Mr. Beast ken Tse cho colle more if you bring me the break and we missed together find oh yes wow who,2026-03-24T14:39:34Z,1
UCxjAi8y7jgLTrz2UqAGPikw,"You aren’t old well if you are old, you look good",2026-03-24T14:39:06Z,0
UCWKwAlzGZ37KqZA2t9m5QNw,DARIUS the goat,2026-03-24T14:38:42Z,0
UCMkdF9JiF8ENWOVOUerSOMg,25:28 CLIMAXXX,2026-03-24T14:38:28Z,0
UCSuxccbm_zXsefkg-5EmtJA,Real Videos are Back,2026-03-24T14:38:16Z,0
UCV7ad_4UAqeTikP3aVSkTnA,In the epst3in island??,2026-03-24T14:38:11Z,0
UCCP28NF_0aUsr2FpnsL7Pig,We want part 2.....,2026-03-24T14:38:06Z,0
UCjtMvjp322kJ4Lo-asmqeqQ,"This is what I miss, thanks for this one. You're new videos are great too, but I really do miss the challenges and old group videos. Maybe a return to some hide and seek?",2026-03-24T14:37:35Z,0
UCB59CFRdUa8sRM-beYvQ2AQ,"Hi mrbeast 
Iam in India give me a gift plz i saw all videos and subscribed plz give a gift",2026-03-24T14:36:52Z,1
UClsKlSsktflAFXtax_PqCjw,Bro Nolan is cooking the challenge,2026-03-24T14:36:20Z,0
UCjq89KtHQ8Mk-MmNNZA-RiQ,Last night’s had a dream about Mr beast coming to my house 😅,2026-03-24T14:36:08Z,1
UCopX-DX2pZKn0o75wp8nlvA,Mojang please fix bedrock,2026-03-24T14:35:55Z,1
UCxOXYyX9uGJclfTpkEm2iRQ,Indonesian voice actors are boring,2026-03-24T14:35:49Z,0
UCKN-6hBfIgZCV-9e5EAhfLQ,Jimmy can do anything ❤,2026-03-24T14:35:18Z,0
UCt1h4IwjQ6HpGQyqyViX3Pw,"If you want a lot of viewers, you have to make cool videos, like: ants fighting other types of ants, animals playing unique games like in a circus. Thank you. MY SUGGESTION",2026-03-24T14:34:49Z,0
UC1IYFWKXllrc-1FR0beiQ5Q,"╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝",2026-03-24T14:34:46Z,1
UC-x-P1GteDP_o8swyYWD_iA,"Hi brother beast !
I'm from india
I'm and my family facing do or die situation .
The situation related to money .
I want money brother 
Can u help me ? 
I will return it back after I earn 
But at the time now I'm hopeless 
Please help me",2026-03-24T14:34:05Z,1
UCvcviNSh5IvZfBi6JpAsSmw,❤❤❤,2026-03-24T14:34:05Z,1
UC5z_Qq0N7hypWjPv1yfjj5Q,Welcome back guys ❤,2026-03-24T14:33:12Z,1
UCaExGa2oOXELBkJZYCyih-w,Bro Come back 🔙,2026-03-24T14:33:06Z,0
UCEUGZK5V7qZ3ngGTvL0JdSA,Duuude. Darius is a beast! He carried the whole team. Is Darius the true mrBeast??,2026-03-24T14:32:48Z,0
UCYUh8VzGaPMgFsNXvMG4HAA,"Are you aware that you stole a video? Not long ago, Egor Shkred released the same video, meaning he already shot it, and you're releasing a one-on-one video in a couple of days",2026-03-24T14:32:32Z,0
UC7pNBZ23L7mawnTHke7njqQ,"He said family instead of fiancé, are they married aldy? Is she pregnant?",2026-03-24T14:32:17Z,0
UCHeYJOYvRCIH9wz2D8FsCsA,Hello 😊,2026-03-24T14:32:09Z,1
UC08hsYBsIVA8mmEnasALXoA,"If money is your power, then you are nothing without it.",2026-03-24T14:31:58Z,0
UCNza3R0_aRSsNTbOh1c7vMA,do more Challenges,2026-03-24T14:31:23Z,0
UCK8NiUoX0CpxfzxAkvRUTRQ,Please PSI 5 can you give me 😊😊😊,2026-03-24T14:31:12Z,1
UCEA2oZ37QzYG7lPKdYkLqHw,"👋👋I love your videos. I'm pretty sure you're not going to read this, but if you do another survival video like that there are videos on YouTube that shows you how to build shelters from nature😺",2026-03-24T14:30:48Z,0
UCvxpVXRiLw390IEJy2L-ECQ,👍👍👍,2026-03-24T14:30:41Z,1
UCPPj2hHhso2akqhi-OLGsSw,Come to Bangladesh 🇧🇩 😏 🤪 🙌 ❤❤,2026-03-24T14:30:38Z,1
UCbaJlZs06JbhSEYPi1yjhbA,"Make more vedios on hide n seek and game of tag 🥲 
They are my favorite.",2026-03-24T14:30:33Z,0
UCJxErMvKBwnFAZhiuyEi-iw,Darius made every cameraman proud,2026-03-24T14:30:21Z,0
UCEZWrZ7COlbPPrGS409letw,WHERES KARL,2026-03-24T14:30:09Z,0
UC6yGaBPYf2PJ_UXF3etONKw,Goood😂😢😢,2026-03-24T14:30:01Z,1
UCWOwN0Haic1R3uH1o3dohDw,Yes,2026-03-24T14:29:50Z,1
UClKZUdKEor_QZQ0KXw9FFbg,Why the new Indonesian trek audio sound like this 😶,2026-03-24T14:28:23Z,0
UCbnW79u-5Xz7JBztepxQGXw,"you let us down.
Junction City High School
Junction City, KS",2026-03-24T14:28:06Z,1
UCGYa9aJ8c14fAf9txTOG3kw,"In 12:10 all 5 of them is in the boat, who the f is filming the drone",2026-03-24T14:27:40Z,0
UCtSiQQoJamQu6mHqojS2UOA,"Brilliantly copied Egorik’s video, but when he was surviving in the jungle, he couldn’t even leave him a comment—even though that’s the whole reason he started surviving in the first place.",2026-03-24T14:27:22Z,0
UCpjTuSX_dXP43XwYDypnAqg,we wannt more of darius,2026-03-24T14:26:05Z,0
UCeeC3wXDrNxSG0BDSV8bL8g,8:25,2026-03-24T14:25:38Z,1
UCno97xUjH2lTkf-MO1VurhA,Respect for dairius,2026-03-24T14:25:01Z,0
UCciDkzmdVo5OEO6__wl7lVA,Where is 1100 team members 😅,2026-03-24T14:24:46Z,0
UCVle5qCeuDca6q5DtMjO_XA,Darrius saved the group all he could,2026-03-24T14:24:38Z,0
UCpqp4OAkbpwrTKn3zWIMM-w,I love you m.r beast,2026-03-24T14:24:32Z,1
UCPlufgi5hmNwia_FKiN9tsA,7:17,2026-03-24T14:23:58Z,0
UCu9SnhQ5jnfx0vtBhM-B-zQ,Chandler is best,2026-03-24T14:23:16Z,0
